"Description","Comment","Designator","Footprint","Part","Alternative Part","Quantity"
"Capacitor","0.1uF","C1, C2, C3, C4, C5, C6, C9, C10, C11, C12_CAN1, C12_CAN2","C_0603","CC0603KPX7R9BB104","","11"
"Capacitor","8pF","C7, C8","C_0603","CC0603DRNPO9BN8R0","","2"
"Capacitor","4.7uF","C13","C_0603","CC0603KRX5R6BB475","","1"
"Capacitor","1uF","C14","C_0603","CC0603ZRY5V7BB105","","1"
"TBLH10-350-02BK","TBLH10-350-02BK","CAN1_IN, CAN1_OUT, CAN2_IN, CAN2_OUT","CUI_TBLH10-350-02BK","TBLH10-350-02BK","JILN JL212R-35002B01, [NoValue]","4"
"ESD","ESDCAN24-2BLY","D1_CAN1, D1_CAN2","SOT23","ESDCAN24-2BLY","","2"
"Crystal Oscillator","NX3225GD-8MHZ","G1","NX3225GD","NX3225GD-8MHZ-EXS00A-CG05041","","1"
"Resistor","10k","R1, R2, R3, R9_CAN1, R9_CAN2","R_0603","RC0603FR-0710KL","","5"
"Resistor","270","R4, R5, R6, R7, R8","R_0603","RC0603FR-07270RL","","5"
"Resistor","120","R10_CAN1, R10_CAN2","R_0603","RC0603FR-07120RL","","2"
"Resistor","5.1k","R11, R12","R_0603","RC0603FR-075K1L","","2"
"LED","Red","RX1, RX2, State, TX1, TX2","LED_0603","GNL-0603SGC, GNL-0603SRC, GNL-0603SBC","","5"
"","DS1040-01RT","SW1_CAN1, SW1_CAN2","DS1040-01RT","DS1040-01RT","","2"
"No Description Available","STM32F405RGT6","U1","LQFP64-10x10mm","STM32F405RGT6","","1"
"CAN_transiever","SN65HVD232D","U2_CAN1, U2_CAN2","SO-8_M","SN65HVD232D","","2"
"17V Clamp 5A (8/20Âµs) Ipp Tvs Diode Surface Mount SOT-23-6","USBLC6-2SC6","U3","SOT95P280X145-6N","USBLC6-2SC6","","1"
"LP38690, LP38692 1-A LDO CMOS Linear Regulators  Stable with Ceramic Output Capacitors","LP38692-3.3V","U4","WSON-6","LP38692-3.3V","","1"
"USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS","TYPE-C-31-M-12","X1","HRO_TYPE-C-31-M-12","TYPE-C-31-M-12","","1"